corte,eje,clasificacion,TECNICISTA,AMBIENTAL,SOCIAL_HUMANA,razon_SOC_TEC
top 5 %,OBSERVACION_TERRENO,crudo,4.2,4.3,9.4,2.2
top 5 %,OBSERVACION_TERRENO,tipif,3.1,4.2,8.5,2.7
top 5 %,INTERACCION_ESTRUCTURADA,crudo,3.1,4.8,13.9,4.5
top 5 %,INTERACCION_ESTRUCTURADA,tipif,1.3,3.0,12.1,9.5
top 5 %,INTERACCION_EXPERIENCIAL,crudo,1.2,3.6,23.8,20.5
top 5 %,INTERACCION_EXPERIENCIAL,tipif,0.3,2.0,14.4,50.4
top 10 %,OBSERVACION_TERRENO,crudo,8.5,9.5,17.2,2.0
top 10 %,OBSERVACION_TERRENO,tipif,6.5,8.8,16.0,2.4
top 10 %,INTERACCION_ESTRUCTURADA,crudo,6.2,10.5,26.3,4.3
top 10 %,INTERACCION_ESTRUCTURADA,tipif,3.2,7.5,22.1,7.0
top 10 %,INTERACCION_EXPERIENCIAL,crudo,3.3,8.9,41.1,12.4
top 10 %,INTERACCION_EXPERIENCIAL,tipif,1.1,5.6,26.7,24.9
top 20 %,OBSERVACION_TERRENO,crudo,16.9,19.6,34.1,2.0
top 20 %,OBSERVACION_TERRENO,tipif,13.4,18.5,30.9,2.3
top 20 %,INTERACCION_ESTRUCTURADA,crudo,13.3,23.1,45.7,3.4
top 20 %,INTERACCION_ESTRUCTURADA,tipif,8.3,18.8,38.1,4.6
top 20 %,INTERACCION_EXPERIENCIAL,crudo,9.1,21.8,65.6,7.2
top 20 %,INTERACCION_EXPERIENCIAL,tipif,4.3,15.4,46.9,10.9
